도로명주소,지번주소,위도,경도
서울특별시 송파구 송이로 156 태정타워,,,
서울특별시 강서구 화곡로 188 더와이즈황병원 3~8층,,,
서울특별시 강서구 마곡중앙6로 93 열린프라자 6710층 602603604605호,,,
서울특별시 노원구 상계로26길 7,,,
서울특별시 양천구 신정이펜1로 20,,,
서울특별시 강서구 곰달래로 54 백제빌딩 1~7층,,,
서울특별시 성북구 한천로 641,,,
None,,,
서울특별시 성북구 오패산로3길 147,,,
None,,,
서울특별시 성북구 보문로 86,,,
서울특별시 성북구 동소문로 215,,,
서울특별시 성북구 종암로 72,,,
None,,,
서울특별시 강남구 남부순환로 2645 2층,,,
서울특별시 성북구 종암로 191,,,
서울특별시 도봉구 도봉로 639 정병원 56층,,,
서울특별시 강북구 도봉로 67,,,
서울특별시 중랑구 망우로 373,,,
서울특별시 서초구 서초중앙로 42 블루핀타워 지하2층지하1층1층2층3층 동,,,
서울특별시 도봉구 도봉로 639,,,
서울특별시 금천구 독산로 362,,,
서울특별시 송파구 정의로8길 4 KDG70타워 234층,,,
None,,,
서울특별시 강북구 도봉로 52,,,
서울특별시 강북구 삼각산로 20,,,
서울특별시 구로구 경인로 427 구로성심병원,,,
서울특별시 성북구 동소문로 118 플라망스타워 15011502호,,,
서울특별시 강북구 삼양로 204,,,
서울특별시 강북구 삼각산로 20,,,
서울특별시 강북구 한천로 1002,,,
서울특별시 강북구 도봉로 114,,,
서울특별시 강북구 도봉로 388,,,
서울특별시 강북구 도봉로 155 서울민병원,,,
서울특별시 강북구 도봉로 266,,,
서울특별시 강서구 공항대로 237 에이스타워 마곡 3456층,,,
서울특별시 중랑구 공릉로 76,,,
서울특별시 강북구 월계로 183,,,
서울특별시 강남구 봉은사로114길 43 지하1층~4층,,,
서울특별시 영등포구 시흥대로 657,,,
서울특별시 강서구 공항대로 260 이화의대부속서울병원,,,
서울특별시 강북구 한천로 1083 수유동,,,
서울특별시 강북구 한천로 1002 북서울요양병원,,,
서울특별시 강북구 삼각산로 58,,,
서울특별시 영등포구 여의대방로 145 2~7층,,,
서울특별시 강북구 도봉로 358,,,
서울특별시 강북구 도봉로 301,,,
서울특별시 강북구 덕릉로 73,,,
서울특별시 강북구 도봉로 301,,,
서울특별시 도봉구 도봉로152길 26,,,
None,,,
서울특별시 도봉구 삼양로 610,,,
서울특별시 중랑구 사가정로49길 53,,,
서울특별시 송파구 삼전로2길 11,,,
서울특별시 송파구 위례서로 248 지하1층 5~12층,,,
서울특별시 강북구 도봉로 114,,,
서울특별시 동대문구 천호대로 259-1,,,
서울특별시 강남구 강남대로 536,,,
서울특별시 도봉구 방학로3길 13,,,
서울특별시 도봉구 삼양로 610 지하1층층 지상1234호,,,
서울특별시 도봉구 도봉로 569 5층,,,
서울특별시 성동구 왕십리로 382,,,
서울특별시 강동구 고덕로 295-60 원케어메디컬타운,,,
서울특별시 도봉구 삼양로 600,,,
서울특별시 노원구 화랑로 323,,,
서울특별시 도봉구 도봉로 683 567층,,,
서울특별시 도봉구 해등로 129,,,
서울특별시 성동구 왕십리로 382,,,
서울특별시 성북구 동소문로46길 10,,,
서울특별시 성북구 보문로 46,,,
서울특별시 영등포구 선유로 51 파인그라드빌딩 b1~8층,,,
서울특별시 도봉구 삼양로 574 2~5층,,,
서울특별시 마포구 양화로 119 디키즈코리아 B1~6층,,,
서울특별시 동작구 보라매로5길 20,,,
서울특별시 강북구 도봉로 374,,,
서울특별시 관악구 신원로 35 삼모 더 프라임 타워 37층,,,
서울특별시 강남구 헌릉로569길 21-40 지하4~지하3층 지하2층일부 지하1층일부 지상1층일부 지상2~3층 지상5~8층,,,
서울특별시 노원구 노원로 246 2346층,,,
서울특별시 노원구 노해로 502 2층 3층 5층,,,
None,,,
서울특별시 노원구 노원로 416 모네여성병원,,,
None,,,
None,,,
None,,,
None,,,
None,,,
서울특별시 노원구 노해로 488 근호빌딩 5층 502호,,,
서울특별시 서초구 서초중앙로 4 기쁨병원,,,
서울특별시 종로구 평창문화로 75 글로리아타운 235층,,,
서울특별시 노원구 노원로 416 파로스병원,,,
서울특별시 성북구 종암로 31,,,
서울특별시 동대문구 경희대로 23,,,
서울특별시 도봉구 삼양로 616 2-5층,,,
서울특별시 강남구 역삼로 245,,,
서울특별시 송파구 마천로 164 송파참병원,,,
서울특별시 노원구 동일로197길 11,,,
서울특별시 마포구 와우산로 48 로하스타워 2층,,,
서울특별시 강북구 도봉로 74,,,
서울특별시 송파구 올림픽로 319 2층,,,
서울특별시 영등포구 영중로 122,,,
서울특별시 성북구 보문로 86,,,
서울특별시 노원구 동일로 1678 2층,,,
서울특별시 은평구 통일로 906 23층,,,
서울특별시 은평구 응암로 264,,,
서울특별시 은평구 통일로 620,,,
서울특별시 은평구 통일로 636 지1 1 2층,,,
서울특별시 도봉구 시루봉로 310 화성빌딩,,,
서울특별시 영등포구 양평로22사길 9,,,
서울특별시 동대문구 제기로 142,,,
서울특별시 강동구 풍성로37길 45,,,
서울특별시 은평구 통일로 906,,,
서울특별시 은평구 통일로 906 23층,,,
서울특별시 은평구 통일로 906 23층,,,
서울특별시 은평구 서오릉로 166,,,
서울특별시 은평구 불광로13길 15,,,
서울특별시 도봉구 방학로 177,,,
서울특별시 광진구 자양로 38 편안한요양병원,,,
서울특별시 노원구 동일로 1419 9층~11층,,,
서울특별시 영등포구 국제금융로6길 26 3층,,,
서울특별시 은평구 연서로 73,,,
서울특별시 은평구 연서로 10,,,
서울특별시 은평구 백련산로14길 20-11,,,
서울특별시 은평구 통일로 1021,,,
서울특별시 은평구 서오릉로 45 최원호병원,,,
서울특별시 송파구 오금로 513 위례빌딩,,,
서울특별시 은평구 통일로 669,,,
서울특별시 은평구 연서로 209 보성빌 23일부4~6층,,,
서울특별시 은평구 갈현로 24 2층 201202호,,,
서울특별시 은평구 통일로 726 불광메디컬타워 1~12층,,,
서울특별시 중랑구 봉화산로 194 신아타운 45층,,,
서울특별시 은평구 진흥로 191,,,
서울특별시 은평구 은평로 133,,,
서울특별시 은평구 통일로 809-1,,,
서울특별시 강남구 논현로105길 48 12층,,,
None,,,
서울특별시 강북구 도봉로 187 지하1층 2층~5층,,,
서울특별시 은평구 통일로 873,,,
서울특별시 은평구 연서로 177,,,
서울특별시 도봉구 시루봉로 137,,,
서울특별시 은평구 응암로 164,,,
서울특별시 은평구 은평로 170 6층7층8층,,,
서울특별시 금천구 시흥대로79길 15 리솜메디라이프 5~7층,,,
서울특별시 양천구 오목로 121,,,
서울특별시 강남구 선릉로 404 더드림병원,,,
서울특별시 은평구 백련산로 90,,,
서울특별시 서대문구 모래내로 460,,,
서울특별시 서대문구 성산로 365-14,,,
None,,,
서울특별시 마포구 월드컵북로 494 지하1층~7층,,,
None,,,
None,,,
None,,,
None,,,
서울특별시 영등포구 경인로 841 서울영등포동4가우체국,,,
서울특별시 도봉구 도봉로 628,,,
서울특별시 노원구 노원로 461 대감프라자빌딩 3456층,,,
서울특별시 성동구 동일로 93,,,
서울특별시 노원구 동일로197길 11 공삼빌딩 234층,,,
서울특별시 은평구 서오릉로 149 세웅그룹빌딩 3~9층,,,
서울특별시 노원구 노해로81길 5-6 노원스퀘어 5-7층,,,
서울특별시 영등포구 경인로 841 서울영등포동4가우체국,,,
서울특별시 은평구 갈현로11길 30,,,
서울특별시 도봉구 도당로 51(방학동),,,
서울특별시 서대문구 연세로5길 26 579층,,,
서울특별시 강동구 진황도로61길 53,,,
None,,,
서울특별시 마포구 창전로 74,,,
서울특별시 마포구 서강로 82 245층,,,
서울특별시 동작구 동작대로 67,,,
서울특별시 강동구 동남로 892,,,
서울특별시 마포구 성산로 128 지하1~지상5층,,,
서울특별시 강서구 강서로 194,,,
서울특별시 강남구 논현로 566 강남차병원(역삼동650-9 606-4 605외2필지(지하7층~지하1층 지상2층~7층)),,,
서울특별시 마포구 서강로 110 지2층~6층,,,
서울특별시 마포구 월드컵북로 165 지하1층~5층,,,
서울특별시 마포구 양화로 178 3층,,,
서울특별시 마포구 마포대로 78 자람빌딩 3층,,,
서울특별시 동대문구 천호대로83길 44,,,
서울특별시 마포구 마포대로 25 대농빌딩 235층,,,
서울특별시 동대문구 왕산로 259 서울성심병원,,,
서울특별시 노원구 동일로 987 태릉성심요양병원,,,
None,,,
서울특별시 서대문구 신촌로37길 10 우리내일병원 지하4층~지하1층 4층~10층호,,,
None,,,
서울특별시 양천구 등촌로 230,,,
서울특별시 양천구 신월로 151,,,
서울특별시 양천구 신월로 151,,,
서울특별시 양천구 은행정로 5 401호 402호,,,
서울특별시 양천구 오목로 299,,,
서울특별시 양천구 신월로 156 234층,,,
서울특별시 양천구 신월로 151,,,
서울특별시 동대문구 장한로 152 지하1~2층 지상3 ~10층,,,
서울특별시 동작구 성대로 43,,,
서울특별시 동대문구 서울시립대로 57 천사병원 B11236층,,,
서울특별시 구로구 새말로 94 2~6층 9층 / 새말로 110 지하1층동 3~6층,,,
서울특별시 강서구 공항대로 389 부민병원,,,
서울특별시 종로구 삼청로10길 13,,,
서울특별시 양천구 등촌로 230,,,
서울특별시 은평구 통일로 935,,,
서울특별시 양천구 중앙로 300,,,
서울특별시 송파구 오금로 296 재정빌딩 지하1층~지상5층,,,
서울특별시 성북구 안암로 99,,,
서울특별시 마포구 백범로 26 세솟는병원,,,
서울특별시 강서구 국회대로 233 지1~지상6층,,,
서울특별시 강서구 공항대로41길 34 89층,,,
서울특별시 강서구 양천로 35 1~6층,,,
서울특별시 강서구 화곡로 154 456층,,,
서울특별시 강서구 화곡로 154 4층 5층 6층,,,
None,,,
서울특별시 강서구 화곡로 416,,,
서울특별시 중랑구 망우로 511,,,
서울특별시 서초구 서초중앙로 197,,,
서울특별시 용산구 이촌로 318,,,
서울특별시 강서구 양천로1길 100,,,
서울특별시 강서구 양천로57길 9-7 2458층,,,
서울특별시 강서구 화곡로 238,,,
서울특별시 강서구 화곡로 416,,,
서울특별시 강서구 양천로 45-5,,,
서울특별시 강서구 곰달래로 54,,,
서울특별시 강서구 하늘길 70,,,
서울특별시 강서구 금낭화로 9 바른세상병원 12345층 67호,,,
서울특별시 구로구 새말로 110,,,
서울특별시 강서구 방화대로 352 1~4층,,,
서울특별시 강서구 화곡로 186 12345층,,,
서울특별시 강서구 가로공원로 187 나누리강서병원,,,
서울특별시 강서구 양천로 35 1~6층,,,
서울특별시 중랑구 봉화산로 64,,,
서울특별시 강남구 일원로 81,,,
서울특별시 강서구 강서로 307 서울스타병원빌딩 34567층 89호,,,
서울특별시 강남구 학동로 121 새로운병원빌딩 지하1층일부~7층,,,
서울특별시 강서구 화곡로61길 109 천수빌딩 2345층,,,
서울특별시 강서구 강서로47가길 33 덕산빌딩 23456층,,,
서울특별시 강서구 강서로56길 38,,,
서울특별시 강서구 하늘길 70,,,
서울특별시 강서구 화곡로 176-4 5층,,,
서울특별시 강서구 등촌로 181,,,
None,,,
서울특별시 강동구 양재대로 1517 남해빌딩 2~5층,,,
서울특별시 강서구 공항대로 315,,,
서울특별시 강서구 공항대로 281 3층,,,
서울특별시 강서구 마곡중앙5로 22 41112층,,,
서울특별시 강서구 강서로 173 터보빌딩 789층,,,
서울특별시 강서구 국회대로 233,,,
서울특별시 강서구 양천로 600 파인블루빌딩 지하1층278층 910호,,,
서울특별시 구로구 경인로 306,,,
None,,,
서울특별시 영등포구 국제금융로2길 25 지하1층,,,
서울특별시 강서구 강서로17길 24,,,
서울특별시 구로구 공원로6가길 4,,,
서울특별시 구로구 새말로 15,,,
서울특별시 구로구 경인로 176,,,
서울특별시 구로구 경인로 306,,,
서울특별시 강서구 양천로 715 지하3층~8층,,,
서울특별시 구로구 개봉로19길 3,,,
서울특별시 강서구 양천로 712,,,
서울특별시 구로구 남부순환로 1287 정성요양병원 2.3.5층 남부순환로 107길 24동,,,
서울특별시 도봉구 삼양로 606,,,
서울특별시 노원구 노원로 75 한국원자력의학원,,,
서울특별시 서대문구 통일로 442,,,
서울특별시 영등포구 도신로 41,,,
서울특별시 강서구 강서로 295,,,
서울특별시 구로구 남부순환로 1291,,,
서울특별시 구로구 구로동로 147 MEDI FLOWER 147,,,
서울특별시 구로구 경인로 393-7 일이삼전자타운 567층,,,
None,,,
서울특별시 동작구 시흥대로 634,,,
서울특별시 구로구 새말로 60 제중요양병원 지하2동 1~9층,,,
서울특별시 구로구 경인로 218 더세인트빌딩 B1.B중3~15층,,,
서울특별시 구로구 중앙로 91 본소클리닉스,,,
서울특별시 강동구 양재대로 1596 3~6층,,,
서울특별시 구로구 중앙로 100,,,
서울특별시 구로구 공원로6가길 4 고려 수 타워,,,
서울특별시 구로구 중앙로 64 고척프라자 가동 45층/나동34층,,,
서울특별시 구로구 서해안로 2296 삼성미래여성병원,,,
서울특별시 구로구 중앙로1길 18-18 2층,,,
서울특별시 구로구 경인로 176 501502601호,,,
서울특별시 서초구 서초중앙로 39,,,
서울특별시 영등포구 당산로31길 10,,,
서울특별시 구로구 구로동로 148 고려대부속구로병원,,,
서울특별시 구로구 개봉로 126,,,
None,,,
서울특별시 구로구 경인로 306,,,
서울특별시 금천구 남부순환로 1372 5678층,,,
서울특별시 노원구 동일로 989 2~9층,,,
서울특별시 금천구 남부순환로 1398,,,
서울특별시 금천구 시흥대로114길 5,,,
서울특별시 금천구 가산로 122,,,
서울특별시 금천구 시흥대로139길 8 새움병원,,,
서울특별시 금천구 범안로 1191,,,
서울특별시 양천구 목동서로 285 황금프라자 10층,,,
서울특별시 금천구 시흥대로 239,,,
서울특별시 양천구 목동로 189 234층,,,
서울특별시 중랑구 신내로 156,,,
서울특별시 금천구 시흥대로 421,,,
서울특별시 금천구 시흥대로 230 서평빌딩 567층,,,
서울특별시 금천구 시흥대로73길 67 46층,,,
None,,,
None,,,
서울특별시 노원구 한글비석로 68 을지병원,,,
서울특별시 영등포구 경인로77길 6,,,
서울특별시 동작구 상도로 146,,,
서울특별시 종로구 대학로 101,,,
서울특별시 서초구 바우뫼로35길 32,,,
서울특별시 강북구 도봉로 161 서울컨벤션웨딩홀,,,
서울특별시 금천구 시흥대로 202 34층,,,
서울특별시 강남구 도산대로 209 느루요양병원빌딩 지하1~2층 지상1~10층,,,
서울특별시 종로구 종로 386 6.7.8.9층,,,
서울특별시 중랑구 동일로 890,,,
서울특별시 도봉구 도봉로 446 강북힘찬병원,,,
서울특별시 강동구 천호대로170길 19,,,
서울특별시 은평구 응암로 267 정원빌딩,,,
서울특별시 금천구 남부순환로 1400 2~9층,,,
서울특별시 영등포구 영등포로 83 한강수병원,,,
서울특별시 구로구 고척로21나길 88-41,,,
서울특별시 영등포구 선유로25길 6 지하1층~지상5층,,,
None,,,
None,,,
None,,,
None,,,
None,,,
None,,,
서울특별시 영등포구 의사당대로 97 2층,,,
서울특별시 영등포구 도림로 142,,,
None,,,
None,,,
None,,,
None,,,
None,,,
None,,,
None,,,
None,,,
None,,,
None,,,
None,,,
서울특별시 송파구 백제고분로 407,,,
서울특별시 영등포구 영신로34길 5,,,
서울특별시 영등포구 도신로 218,,,
서울특별시 영등포구 영등포로 59 2-4층,,,
서울특별시 영등포구 도림로 144,,,
서울특별시 영등포구 영중로 59,,,
서울특별시 영등포구 영등포로 358,,,
서울특별시 영등포구 영중로 59,,,
서울특별시 영등포구 의사당대로 97 2층4층,,,
None,,,
None,,,
None,,,
None,,,
서울특별시 서대문구 충정로 71-5(충정로2가),,,
서울특별시 강남구 논현로 507,,,
서울특별시 영등포구 영신로 136,,,
서울특별시 은평구 갈현로7길 49,,,
서울특별시 영등포구 가마산로 381,,,
None,,,
서울특별시 영등포구 영중로 59,,,
서울특별시 영등포구 영중로 133 2~5층,,,
서울특별시 영등포구 가마산로 368,,,
서울특별시 영등포구 영등포로36길 13,,,
서울특별시 영등포구 영중로 100,,,
서울특별시 노원구 동일로 1342 상계백병원,,,
서울특별시 동작구 동작대로27다길 26 2층,,,
서울특별시 동작구 양녕로 283,,,
서울특별시 동작구 동작대로 13 3층,,,
None,,,
서울특별시 중구 을지로 245,,,
서울특별시 양천구 오목로 282 서원빌딩 지하1층~3층층,,,
서울특별시 동작구 여의대방로 134,,,
서울특별시 동작구 여의대방로22길 98 123층,,,
서울특별시 성북구 아리랑로 16,,,
서울특별시 관악구 시흥대로 572 4~6층,,,
서울특별시 관악구 남부순환로 1782,,,
서울특별시 관악구 남부순환로 1710,,,
None,,,
서울특별시 관악구 시흥대로 572,,,
서울특별시 관악구 시흥대로 572,,,
서울특별시 관악구 남부순환로 1704,,,
서울특별시 관악구 남부순환로 1796 -12~5층,,,
서울특별시 관악구 남부순환로 1785,,,
서울특별시 관악구 난곡로 215,,,
서울특별시 관악구 신림로 318 45층,,,
서울특별시 영등포구 여의대방로53길 22,,,
서울특별시 도봉구 도봉로152길 26 234층,,,
서울특별시 양천구 은행정로 5 401호 402호,,,
서울특별시 강북구 도봉로 181,,,
서울특별시 성북구 동소문로 306,,,
서울특별시 양천구 신월로 164 8층 9층,,,
서울특별시 관악구 관악로 1 지1~3층,,,
서울특별시 관악구 시흥대로 572,,,
None,,,
서울특별시 서초구 방배로 177 4~6층,,,
서울특별시 서초구 동광로 5,,,
None,,,
None,,,
서울특별시 서초구 강남대로 435 13층,,,
서울특별시 서초구 논현로1길 13,,,
서울특별시 서초구 강남대로 419,,,
서울특별시 서초구 강남대로 365 4층,,,
None,,,
서울특별시 양천구 목동로 189 3~4층,,,
서울특별시 관악구 관악로 242,,,
서울특별시 광진구 자양로 116 301~307호310~312호,,,
서울특별시 영등포구 도림로 156 명지성모병원,,,
서울특별시 서초구 강남대로 403,,,
서울특별시 서초구 강남대로 220,,,
서울특별시 서초구 강남대로 399,,,
None,,,
서울특별시 서초구 서초중앙로 39 5층,,,
서울특별시 서초구 헌릉로 260,,,
서울특별시 서초구 서초대로 116,,,
서울특별시 서초구 남부순환로 2151,,,
서울특별시 서초구 방배로 245 3층,,,
서울특별시 서초구 잠원로 24 403404호,,,
서울특별시 서초구 서초대로 338 프로비스타 지하1층 지상2~8층,,,
서울특별시 서초구 반포대로 222,,,
서울특별시 중랑구 용마산로117길 49 장스여성병원 비동동,,,
서울특별시 강동구 천호대로 1012,,,
서울특별시 서초구 방배로 186,,,
서울특별시 서초구 동작대로 196 1~3층,,,
서울특별시 서초구 방배천로2길 22,,,
서울특별시 서초구 명달로 102 서원빌딩 1-6층,,,
서울특별시 서초구 강남대로 441 서산빌딩 11층,,,
서울특별시 서초구 신반포로49길 3 기린한방병원,,,
서울특별시 성북구 종암로 72,,,
None,,,
서울특별시 서초구 서초중앙로 126 서울365mc병원 지하1층 2~13층,,,
서울특별시 서초구 서초중앙로 110 45층,,,
서울특별시 서초구 양재대로 54 지12층 2~9층,,,
서울특별시 서초구 서초중앙로 148 희성빌딩 569층,,,
서울특별시 서초구 강남대로 505,,,
서울특별시 양천구 신목로 102 356층,,,
서울특별시 강남구 도산대로 121 YK타워 지하1층 2~4층 8층 12~15층,,,
서울특별시 서초구 반포대로9길 42,,,
서울특별시 서초구 서초중앙로 47,,,
서울특별시 강남구 봉은사로 171,,,
서울특별시 강남구 영동대로 626 2~10층,,,
서울특별시 강남구 도산대로 238 2~5층 7~11층 13~14층,,,
서울특별시 강남구 도곡로 122,,,
서울특별시 강남구 밤고개로1길 10 315호,,,
서울특별시 강남구 테헤란로 337,,,
서울특별시 강남구 선릉로90길 10,,,
서울특별시 강남구 삼성로 646 마디빌딩 지하1층~3층 지상1층~9층,,,
서울특별시 강남구 테헤란로 411 9층,,,
서울특별시 양천구 신월로 151,,,
서울특별시 관악구 신림로64길 11 지1층2~11층,,,
서울특별시 강남구 남부순환로 2649 베드로병원,,,
서울특별시 강남구 언주로 631 지하2층지상2층일부3~6층,,,
서울특별시 용산구 대사관로 59,,,
서울특별시 강남구 봉은사로 458 지하1층 ~ 9층,,,
서울특별시 강남구 테헤란로87길 13,,,
서울특별시 강남구 강남대로 276,,,
서울특별시 강남구 언주로 728 234578910층,,,
서울특별시 강남구 언주로 327 지하1층 2~7층,,,
서울특별시 종로구 경희궁길 26 썬타워빌딩 지하1층 지상234567층,,,
서울특별시 강남구 논현로 609 2층 3층일부4층,,,
서울특별시 강남구 영동대로 713 B1~6층 7층일부8층,,,
서울특별시 강남구 논현로16길 15,,,
서울특별시 강남구 강남대로 476 4층,,,
서울특별시 강남구 언주로 858 1관2관동,,,
서울특별시 강동구 강동대로 143-52 느루요양병원빌딩,,,
서울특별시 강남구 도곡로 212 지하2층지상4~8층,,,
서울특별시 양천구 오목로 199,,,
서울특별시 강남구 도곡로 214 롤스웰빌딩 지하2층 지하1층 지상1층 일부 지상2~7층,,,
서울특별시 노원구 덕릉로 690 기업은행 2345층,,,
서울특별시 양천구 남부순환로 331,,,
서울특별시 강남구 도산대로 410 3~8층,,,
서울특별시 강남구 논현로 705,,,
서울특별시 강남구 압구정로 304  층 ),,,
서울특별시 강남구 논현로 627 지하2층지상1층~9층 지상11층,,,
서울특별시 강남구 도산대로 142 B3~5층7~16층),,,
서울특별시 강남구 언주로165길 9 23층,,,
서울특별시 강남구 논현로2길 30,,,
서울특별시 강남구 강남대로 390,,,
서울특별시 강남구 삼성로 548,,,
서울특별시 강남구 강남대로 390 11층,,,
서울특별시 강남구 학동로97길 11 2층3층,,,
서울특별시 강남구 압구정로30길 45 2~4층,,,
서울특별시 서초구 강남대로 309 코리아비지니스센타 3층,,,
서울특별시 강남구 봉은사로 535,,,
서울특별시 노원구 노해로 507 5층,,,
서울특별시 강남구 영동대로86길 9,,,
서울특별시 강남구 논현로2길 30 지하1층 1~6층,,,
서울특별시 강남구 삼성로 432 23층,,,
