"번호","k-아파트코드","k-아파트명","k-단지분류(아파트,주상복합등등)","kapt도로명주소","주소(시도)k-apt주소split","주소(시군구)","주소(읍면동)","나머지주소","주소(도로명)","주소(도로상세주소)","k-전화번호","k-팩스번호","단지소개기존clob","단지첨부파일","k-세대타입(분양형태)","k-관리방식","k-복도유형","k-난방방식","k-전체동수","k-전체세대수","k-건설사(시공사)","k-시행사","k-사용검사일-사용승인일","k-연면적","k-주거전용면적","k-관리비부과면적","k-전용면적별세대현황(60㎡이하)","k-전용면적별세대현황(60㎡~85㎡이하)","k-85㎡~135㎡이하","k-135㎡초과","k-홈페이지","k-등록일자","k-수정일자","고용보험관리번호","경비비관리형태","세대전기계약방법","청소비관리형태","건축면적","주차대수","기타/의무/임대/임의=1/2/3/4","단지승인일","사용허가여부","관리비 업로드","좌표X","좌표Y","단지신청일"
"13","A13790701","잠원한신그린","아파트","서울특별시 서초구 신반포로33길 71","서울","서초구","잠원동","잠원한신그린아파트","신반포로33길","71","025374739","025911575","","","분양","위탁관리","계단식","지역난방","1","150","한신공영(주)","한신공영(주)","1993-01-21 00:00:00.0","17968","12734","16860","0","150","0","","없음","","2022-04-05 16:13:14.0","11480015230","직영","종합계약","직영","1115.61","136","의무","2016-04-25 16:20:42.0","Y","N","127.0078749","37.5133709","2013-03-07 09:47:01.0"
"14","A13402202","천호e-편한세상","아파트","서울특별시 강동구 올림픽로81길 15","서울","강동구","천호동","관리사무소","올림픽로81길","15","024706787","024846788","","","분양","위탁관리","계단식","개별난방","2","150","","","2005-10-28 00:00:00.0","23895","13829","17087","0","98","52","","","","2022-04-05 19:06:11.0","90700029131","위탁","단일계약","위탁","1743.47","198","의무","2018-01-24 18:20:19.0","Y","N","127.1243522","37.5443727","2013-03-07 09:47:01.0"
"15","A11007001","경희궁의아침3단지","아파트","서울특별시 종로구 사직로8길 34","서울","종로구","내수동","72번지","사직로8길","34","027224433","027340253","","","분양","위탁관리","계단식","개별난방","1","150","쌍용건설","군인공제조합","2004-05-17 00:00:00.0","38392","22445","38392","0","0","30","","","","2022-04-05 04:01:15.0","101-80-05542-0","위탁","단일계약","위탁","0.00","315","의무","2013-06-24 11:36:59.0","Y","N","126.9720155","37.5736451","2013-03-07 09:47:01.0"
"16","A13403001","성내2차e-편한세상","아파트","서울특별시 강동구 풍성로37길 55","서울","강동구","성내동","137","풍성로37길","55","024866688","024866644","","","분양","위탁관리","계단식","개별난방","2","151","(주)삼호","대농연립재건축조합","2004-11-24 00:00:00.0","22219","13446","22218","0","126","25","","","","2022-04-05 19:00:24.0","21282630740","위탁","종합계약","위탁","1863.00","184","의무","2016-10-27 15:45:08.0","Y","N","127.1264298","37.53436","2013-03-07 09:47:02.0"
"17","A15609001","사당유니드","아파트","서울특별시 동작구 동작대로29길 195","서울","동작구","사당동","1155번지","동작대로29길","195","025330511","025330588","","","분양","위탁관리","계단식","개별난방","5","151","대성산업(주)","사당제7주택 재개발조합","2009-02-03 00:00:00.0","23348","11569","15207","27","124","0","","cafe.daum.net/sd-uneed","","2022-04-05 15:16:47.0","90900160751","위탁","종합계약","위탁","0.00","0","의무","2013-06-23 11:08:20.0","Y","N","126.9752458","37.493362","2013-03-07 09:47:02.0"
"18","A13186801","신내다우훼밀리","아파트","서울특별시 중랑구 송림길 16","서울","중랑구","신내동","796번지","송림길","16","024948697","024958697","","","분양","위탁관리","혼합식","개별난방","1","152","다우종합건설","다우훼밀리아파트","1999-01-29 00:00:00.0","15008","11642","11642","66","73","13","","","","2022-04-05 06:42:51.0","907-00-28587-1","위탁","단일계약","위탁","0.00","161","의무","2013-06-23 00:00:00.0","Y","N","127.0971514","37.6060585","2013-03-07 09:47:02.0"
"19","A13407201","명일삼익그린11차","아파트","서울특별시 강동구 명일로 376","서울","강동구","명일동","38번지","명일로","376","024287062","0264261451","","","분양","위탁관리","혼합식","개별난방","1","152","삼익주택","삼익주택","1986-06-30 00:00:00.0","18346","14834","18346","0","92","60","","","","2022-04-05 18:43:13.0","212-80-00755-0","직영","종합계약","위탁","0.00","180","의무","2013-05-07 18:52:16.0","Y","N","127.1504982","37.5518066","2013-03-07 09:47:02.0"
"20","A13980801","공릉대동1차","아파트","서울특별시 노원구 동일로175길 38","서울","노원구","공릉동","604-11","동일로175길","38","029794220","029794221","","","분양","위탁관리","혼합식","개별난방","1","152","(주)대동","(주)대동","1999-04-30 00:00:00.0","19659","10853","14198","73","79","0","","","","2022-04-05 08:33:17.0","90800504051","직영","종합계약","직영","0.00","156","의무","2013-05-30 17:08:27.0","Y","N","127.072532","37.6198604","2013-03-07 09:47:02.0"
"21","A15210101","오류동선","아파트","서울특별시 구로구 경인로 158","서울","구로구","오류동","345","경인로","158","0226133606","0226133607","","","분양","위탁관리","계단식","개별난방","1","152","동선건설","동선건설","2004-04-21 00:00:00.0","16366","8849","12562","152","0","0","","","","2022-04-05 13:33:17.0","11382701090","위탁","단일계약","위탁","0.00","122","의무","2004-04-21 00:00:00.0","Y","N","126.8394712","37.4936836","2013-03-07 09:47:02.0"
"22","A15001001","여의도초원","아파트","서울특별시 영등포구 국회대로76가길 11","서울","영등포구","여의도동","서울시 영등포구 여의도동11-1","국회대로76가길","11","027805768","027619653","4","","분양","자치관리","복도식","지역난방","1","153","순복음","순복음","1971-08-27 00:00:00.0","12876","10242","12495","0","153","0","","","","2022-04-05 14:10:35.0","1998-062972-560-1204","위탁","","위탁","833.00","92","의무","2013-05-07 18:52:10.0","Y","Y","126.9231927","37.5309637","2013-03-07 09:47:02.0"
"23","A15881701","목동금강에스쁘아","아파트","서울특별시 양천구 목동중앙본로 15","서울","양천구","목동","목동금강에스쁘아아파트","목동중앙본로","15","0226443194","0226443194","","","분양","위탁관리","계단식","지역난방","1","153","(주)금강종합건설","신목연합재건축주택조합","2002-08-13 00:00:00.0","19081","11861","16137","34","119","0","","","","2022-04-05 11:56:24.0","90700237321","위탁","종합계약","위탁","1197.38","159","의무","2015-10-05 12:01:31.0","Y","N","126.8714021","37.5380526","2013-03-07 09:47:02.0"
"24","A13285601","방학신동아5단지","아파트","서울특별시 도봉구 시루봉로 148","서울","도봉구","방학동","신동아아파트","시루봉로","148","0234938819","0262238819","238","","분양","위탁관리","혼합식","개별난방","1","153","신동아건설(주)","신동아건설(주)","1998-10-02 00:00:00.0","22480","11929","15762","84","33","36","","cafe.daum.net/sdaapt5","","2022-04-05 08:03:03.0","90700326431","위탁","종합계약","직영","0.00","196","의무","2018-02-13 11:14:23.0","Y","N","127.0285219","37.6636195","2013-03-07 09:47:02.0"
"25","A13980102","공릉신원","아파트","서울특별시 노원구 동일로192나길 26","서울","노원구","공릉동","370-4","동일로192나길","26","029716118","029716102","","","분양","위탁관리","복도식","개별난방","1","153","신원종합개발","신원종합개발","2000-02-14 00:00:00.0","18796","10946","10946","81","72","0","","","","2022-04-05 08:37:34.0","2000-0001855","위탁","종합계약","직영","0.00","154","의무","2015-10-16 16:44:11.0","Y","N","127.0751067","37.6277644","2013-03-07 09:47:02.0"
"26","A15886501","신정학마을3단지","아파트","서울특별시 양천구 신정로 225-12","서울","양천구","신정동","1291번지 관리사무소","신정로","225-12","0226041480","0226041482","","","분양","위탁관리","계단식","지역난방","3","153","태영건설","도시개발공사","2002-08-23 00:00:00.0","24603","12978","16691","0","153","0","","","","2022-04-05 11:39:15.0","11780050380","위탁","단일계약","위탁","1555.00","211","의무","2002-08-23 00:00:00.0","Y","N","126.8472095","37.5115753","2013-03-07 09:47:02.0"
"27","A13186502","신내우남푸르미아","아파트","서울특별시 중랑구 봉화산로56길 51","서울","중랑구","신내동","","봉화산로56길","51","0234233200","0234233201","","","분양","위탁관리","계단식","개별난방","3","153","(주)우남건설","(주)우남건설","2005-04-04 00:00:00.0","22916","13481","16456","0","134","19","","","","2022-04-05 06:44:56.0","90700274071","위탁","종합계약","위탁","1401.42","186","의무","2013-06-23 14:54:55.0","Y","N","127.0987566","37.6061739","2013-03-07 09:47:03.0"
"28","A13780201","엠브이아파트","아파트","서울특별시 서초구 고무래로10길 39","서울","서초구","반포동","서초구 반포4동 46번지","고무래로10길","39","025911655","025911645","","","분양","자치관리","복도식","개별난방","1","154","한보철강","해주정씨종친회","1994-07-28 00:00:00.0","21910","13431","17664","54","60","40","","","","2022-04-05 16:25:19.0","11480017130","직영","단일계약","직영","1094.86","146","의무","2017-04-24 13:22:55.0","Y","N","127.0102751","37.4992014","2013-03-07 09:47:03.0"
"29","A13203001","쌍문동북한산월드메르디앙","아파트","서울특별시 도봉구 삼양로 566","서울","도봉구","쌍문동","728번지","삼양로","566","029005707","029005708","","","분양","위탁관리","계단식","개별난방","4","154","월드건설","월드건설","2005-06-02 00:00:00.0","19477","12814","16560","0","138","16","","","","2022-04-05 07:52:35.0","90700278841","위탁","종합계약","위탁","0.00","1","의무","2013-06-17 13:35:06.0","Y","N","127.0139503","37.653846","2013-03-07 09:47:03.0"
"30","A15383601","독산진도2차","아파트","서울특별시 금천구 두산로 36","서울","금천구","독산동","1133번지","두산로","36","028913790","028913791","","","분양","위탁관리","혼합식","개별난방","1","154","진도건설","진도","1997-10-17 00:00:00.0","17642","11178","15399","75","79","0","","","","2022-04-05 13:46:29.0","91611398771","위탁","단일계약","위탁","0.00","139","의무","2016-12-21 10:42:47.0","Y","N","126.8922168","37.4700234","2013-03-07 09:47:03.0"
"31","A15381402","독산계룡","아파트","서울특별시 금천구 범안로15길 7","서울","금천구","독산동","","범안로15길","7","028084694","028084693","","","분양","위탁관리","혼합식","개별난방","2","154","계룡건설","계룡건설","1998-09-24 00:00:00.0","19933","11034","15415","80","74","0","","","","2022-04-05 13:46:40.0","1998-4420680","직영","단일계약","직영","973.34","160","의무","2018-06-04 13:29:20.0","Y","N","126.8927936","37.4671531","2013-03-07 09:47:03.0"
"32","A15805101","목동대원칸타빌","아파트","서울특별시 양천구 목동로 224","서울","양천구","목동","","목동로","224","0226550932","20620932","","","분양","위탁관리","계단식","개별난방","1","154","(주)대원","(주)대원","2001-09-10 00:00:00.0","26204","13648","18071","0","122","32","","","","2022-04-05 11:54:32.0","","위탁","종합계약","위탁","15783.30","202","의무","2016-05-30 16:26:29.0","Y","N","126.8650937","37.5285923","2013-03-07 09:47:03.0"
"33","A15288801","신도림우성5차","아파트","서울특별시 구로구 신도림로21길 21","서울","구로구","신도림동","638","신도림로21길","21","0226764981","63264981","","","분양","위탁관리","복도식","개별난방","1","154","우성건설(주)","우성건설(주)","1994-12-15 00:00:00.0","16328","11152","14776","56","98","0","","","","2022-04-05 13:02:11.0","113-80-02456-0","위탁+직영","단일계약","위탁","0.00","136","의무","2014-12-10 13:12:17.0","Y","N","126.8837922","37.5127235","2013-03-07 09:47:04.0"
"34","A15722201","마곡서광2차아파트","아파트","서울특별시 강서구 양천로14길 17","서울","강서구","방화동","871번지","양천로14길","17","0226626292","0226626293","","","분양","위탁관리","계단식","개별난방","2","154","서광건설(주)","서광건설(주)","2003-06-02 00:00:00.0","27065","15216","18545","0","58","96","","","","2022-04-05 12:53:04.0","907-00-00338-1","위탁","종합계약","위탁","0.00","229","의무","2013-05-24 10:49:51.0","Y","N","126.8106819","37.5720228","2013-03-07 09:47:04.0"
"35","A13786901","서초1차e편한세상","아파트","서울특별시 서초구 명달로6길 31","서울","서초구","서초동","1487-63","명달로6길","31","025831487","025841488","","","분양","위탁관리","계단식","개별난방","2","154","대림","대림","2004-08-24 00:00:00.0","37212","20102","24462","0","0","154","","서초1차e-편한세상.apti.co.kr","","2022-04-05 16:38:27.0","907-00-06799-1","위탁","종합계약","위탁","0.00","0","의무","2013-06-20 10:33:33.0","Y","N","127.0067349","37.4812021","2013-03-07 09:47:04.0"
"36","A15881702","목동성원","아파트","서울특별시 양천구 목동중앙로 67","서울","양천구","목동","763-1 목동 성원 아파트 관리사무소","목동중앙로","67","0226439306","0226439306","","","분양","위탁관리","계단식","개별난방","2","155","성원산업개발(주)","수정.삼성 연립 재건축 주택 조합","2000-06-29 00:00:00.0","22553","12520","15957","64","59","32","","","","2022-04-05 11:55:20.0","90700315921","위탁","종합계약","위탁","0.00","176","의무","2013-06-23 10:54:15.0","Y","N","126.8699072","37.5358469","2013-03-07 09:47:04.0"
"37","A12204001","북한산수자인","아파트","서울특별시 은평구 불광로 170","서울","은평구","불광동","관리사무소","불광로","170","023553203","023553206","","","분양","위탁관리","계단식","개별난방","2","155","한양","정원연립재건축조합","2006-09-01 00:00:00.0","17909","10017","12900","125","30","0","","","","2022-04-05 09:48:14.0","20060645099","직영","단일계약","위탁","1315.10","151","의무","2019-07-29 17:16:43.0","Y","N","126.9321696","37.6216983","2013-03-07 09:47:04.0"
"38","A13295201","브라운스톤쌍문","아파트","서울특별시 도봉구 노해로40길 71","서울","도봉구","쌍문동","","노해로40길","71","029068523","029068524","","","분양","위탁관리","계단식","개별난방","2","155","이수건설","국화연립재건축조합","2006-12-26 00:00:00.0","23262","12256","15460","25","114","16","","www.bsssangmun.com","","2022-04-05 07:47:03.0","90700280321","위탁","단일계약","위탁","1792.56","169","의무","2016-11-01 20:17:20.0","Y","N","127.0295935","37.6471154","2013-03-07 09:47:04.0"
"39","A13527001","도곡동양재디오빌","주상복합","서울특별시 강남구 강남대로 256","서울","강남구","도곡동","952번지","강남대로","256","025771127","025771128","","","분양","위탁관리","복도식","개별난방","1","155","대우건설","대우건설","2004-04-23 00:00:00.0","9783","4261","8099","155","0","0","","","","2022-04-05 17:50:52.0","","위탁","종합계약","위탁","0.00","125","의무","2013-06-23 14:19:28.0","Y","Y","127.0335386","37.4864782","2013-03-07 09:47:04.0"
"40","A15884901","유원목동","아파트","서울특별시 양천구 신목로 77","서울","양천구","신정동","87-39","신목로","77","0226436751","0226436752","","","분양","위탁관리","계단식","지역난방","2","156","유원건설(주)","한전연합주택조합","1990-12-29 00:00:00.0","16977","13110","16497","0","156","0","","","","2022-04-05 11:41:54.0","","위탁","종합계약","위탁","0.00","0","의무","2013-05-27 13:44:34.0","Y","N","126.8736268","37.5217974","2013-03-07 09:47:04.0"
"41","A13486401","천호현대","아파트","서울특별시 강동구 진황도로 47-2","서울","강동구","천호동","천호현대아파트","진황도로","47-2","024870371","64830371","170","","분양","위탁관리","복도식","개별난방","2","156","현대건설","아남산업주택조합","1990-05-31 00:00:00.0","13497","8976","12760","48","108","0","","","","2022-04-05 19:06:01.0","21282602660","위탁","단일계약","직영","502.68","100","의무","2016-06-02 08:53:22.0","Y","N","127.1329005","37.5383992","2013-03-07 09:47:04.0"
"42","A13187501","중화극동","아파트","서울특별시 중랑구 봉화산로27길 32","서울","중랑구","중화동","19번지","봉화산로27길","32","024945822","024345822","","","분양","위탁관리","혼합식","개별난방","1","156","극동건설","극동건설","1991-04-29 00:00:00.0","17030","13006","17030","0","156","0","","","","2022-04-05 06:33:50.0","907-00-08151-1","위탁","단일계약","위탁","0.00","160","의무","2019-04-25 09:37:11.0","Y","N","127.0837949","37.6036519","2013-03-07 09:46:52.0"
"43","A15185201","신림현대성우","아파트","서울특별시 관악구 남부순환로198길 7","서울","관악구","신림동","","남부순환로198길","7","028742659","028755972","101","","분양","위탁관리","혼합식","개별난방","1","156","성우종합건설(주)","삼성연립재건축조합","1998-10-26 00:00:00.0","21207","11990","15618","71","68","17","","","","2022-04-05 15:44:23.0","119-82-61200","직영","종합계약","직영","1197.50","167","의무","2013-06-23 11:47:02.0","Y","N","126.9372705","37.4837087","2013-03-07 09:46:52.0"
"44","A11084601","평창롯데","아파트","서울특별시 종로구 평창문화로 140","서울","종로구","평창동","72","평창문화로","140","023790120","63250120","","","분양","위탁관리","계단식","개별난방","3","156","롯데건설","북악맨션재건축조합","2001-04-30 00:00:00.0","31071","16343","21191","0","36","120","","","","2022-04-05 04:09:56.0","90700279361","위탁","종합계약","위탁","0.00","256","의무","2013-06-14 16:42:55.0","Y","N","126.9756922","37.6091332","2013-03-07 09:46:52.0"
"46","A13820002","문정세양청마루","아파트","서울특별시 송파구 송이로31길 66","서울","송파구","문정동","146번지","송이로31길","66","024032521","024032523","","","분양","위탁관리","계단식","개별난방","2","157","세양건설","세양지역주택조합","2004-05-01 00:00:00.0","14743","9406","12158","157","0","0","","","","2022-04-05 18:16:55.0","215-80-05889-0","위탁","단일계약","위탁","0.00","126","의무","2014-12-02 11:47:54.0","Y","N","127.1370266","37.4924314","2013-03-07 09:46:52.0"
"47","A15101501","보라매갑을","아파트","서울특별시 관악구 관천로24길 3","서울","관악구","신림동","","관천로24길","3","028721574","028721573","4","","분양","위탁관리","계단식","개별난방","1","157","갑을건설","동심아파트재건축조합","2003-12-31 00:00:00.0","19382","10884","13828","44","113","0","","","","2022-04-05 15:43:36.0","1198001722","위탁","종합계약","위탁","974.08","151","의무","2013-06-23 11:46:58.0","Y","N","126.9219256","37.4891251","2013-03-07 09:46:52.0"
"48","A13312101","성수두산위브","아파트","서울특별시 성동구 뚝섬로 434","서울","성동구","성수동2가","성수동 두산위브","뚝섬로","434","024610170","024648687","","","분양","위탁관리","계단식","개별난방","3","157","두산건설","두산건설","2006-05-30 00:00:00.0","27671","16949","16949","0","85","48","","dsweve.or.kr","","2022-04-05 05:31:38.0","91506921561","위탁","단일계약","위탁","21277.09","247","의무","2016-07-05 15:15:46.0","Y","N","127.0584774","37.5372327","2013-03-07 09:46:52.0"
"49","A15283801","신도림쌍용플래티넘노블","아파트","서울특별시 구로구 공원로 40","서울","구로구","구로동","46번지 신도림쌍용플래티넘노블","공원로","40","028382850","028382851","","","분양","위탁관리","계단식","개별난방","2","155","남광토건(주)","목원엔지리어링","2006-11-30 00:00:00.0","44167","17885","19471","0","0","155","","","","2022-04-05 13:14:53.0","","위탁","종합계약","위탁","0.00","258","의무","2015-01-02 09:59:06.0","Y","N","126.8912982","37.5009591","2013-03-07 09:46:53.0"
"50","A15007101","대림갑을명가","아파트","서울특별시 영등포구 대림로22길 29","서울","영등포구","대림동","대림동갑을명가아파트","대림로22길","29","028350494","028350495","","","분양","위탁관리","계단식","개별난방","2","157","갑을건설(주)","화양연립재건축정비사업조합","2005-10-17 00:00:00.0","21239","13326","16169","0","157","0","","","","2022-04-05 14:50:36.0","90700037711","위탁","단일계약","위탁","1540.43","181","의무","2018-03-17 11:34:33.0","Y","N","126.9036771","37.4956182","2013-03-07 09:46:53.0"
"51","A13980803","공릉1동삼익","아파트","서울특별시 노원구 섬밭로 17","서울","노원구","공릉동","공릉1동삼익아파트","섬밭로","17","029787677","029787678","64","FILE_000000000084906","분양","위탁관리","혼합식","개별난방","1","158","삼익건설주식회사","평화외3개연립 재건축조합","1997-10-28 00:00:00.0","20892","11790","15906","78","59","21","","","","2022-04-05 08:40:23.0","907-00-20954-1","위탁+직영","종합계약","위탁","0.00","144","의무","2017-04-27 16:35:52.0","Y","N","127.0723375","37.6181002","2013-03-07 09:46:53.0"
"52","A14319002","자양한강극동","아파트","서울특별시 광진구 능동로3길 53","서울","광진구","자양동","57-103","능동로3길","53","024698231","024690339","","","분양","자치관리","계단식","개별난방","2","158","극동건설주식회사","자양동군인직장연합주택조합","1991-08-08 00:00:00.0","17449","13343","17236","0","158","0","","","","2022-04-05 05:44:29.0","20780002240","직영","종합계약","직영","1606.38","160","의무","2018-12-20 15:58:05.0","Y","Y","127.0644764","37.5336956","2013-03-07 09:46:53.0"
"53","A13510001","청담삼성1차","아파트","서울특별시 강남구 삼성로133길 20","서울","강남구","청담동","청담동 삼성1차 아파트","삼성로133길","20","0234464486","0234464481","4","FILE_000000000336219","분양","위탁관리","혼합식","개별난방","1","158","삼성건설","삼성물산","1997-12-19 00:00:00.0","20894","11595","15139","70","88","0","","청담삼성1차.apti.co.kr","","2022-04-05 17:02:11.0","211-82-13417-0","직영","단일계약","위탁","1413.04","160","의무","2019-02-12 14:31:00.0","Y","N","127.0478619","37.5194421","2013-03-07 09:46:53.0"
"54","A13292501","창동현대타운(주복)","아파트","서울특별시 도봉구 도봉로114길 22-8","서울","도봉구","창동","","도봉로114길","22-8","029929885","029929886","865","","분양","위탁관리","복도식","개별난방","1","158","현대건설","현대건설","1999-09-22 00:00:00.0","23414","9492","13117","93","65","0","","","","2022-04-05 08:16:27.0","90700313911","위탁","종합계약","위탁","2203.53","175","의무","2013-05-07 09:42:03.0","Y","N","127.0352336","37.6470839","2013-03-07 09:46:53.0"
"55","A13311101","성수금호3차","아파트","서울특별시 성동구 뚝섬로5길 17","서울","성동구","성수동1가","서울특별시 성동구 성수동 1가 714","뚝섬로5길","17","024685222","024685224","4","","분양","위탁관리","계단식","개별난방","3","159","금호산업(주)","성수금호3차 재건축조헙","2003-09-25 00:00:00.0","23433","12710","16148","32","127","0","","성수금호3차.com","","2022-04-05 05:24:04.0","90700036811","위탁","단일계약","위탁","1312.92","170","의무","2016-03-17 15:05:00.0","Y","N","127.0504009","37.5420274","2013-03-07 09:46:53.0"
"56","A13201001","도봉서광","아파트","서울특별시 도봉구 마들로 770","서울","도봉구","도봉동","서울 도봉구 마들로 770","마들로","770","0234918468","0260848468","","FILE_000000000038808","임대+분양","위탁관리","복도식","개별난방","3","159","융창건설(주)","서울특별시 도시개발공사","1999-09-07 00:00:00.0","13923","7934","11513","159","0","0","","","","2022-04-05 08:21:24.0","21080023780","위탁","단일계약","위탁","0.00","90","의무","2018-03-28 11:19:09.0","Y","N","127.049861","37.6783964","2013-03-07 09:46:54.0"
"57","A13185501","묵동세방","아파트","서울특별시 중랑구 숙선옹주로9길 25","서울","중랑구","묵동","","숙선옹주로9길","25","029775783","0264635783","509","","분양","위탁관리","혼합식","개별난방","2","159","세방기업(주)","세방건설","2000-07-03 00:00:00.0","18710","11661","15473","66","93","0","","","","2022-04-05 06:37:24.0","90700315551","위탁","단일계약","위탁","0.00","161","의무","2013-06-21 17:45:08.0","Y","N","127.0835522","37.6153547","2013-03-07 09:46:54.0"
